16:20:22 INFO  : Launching XSCT server: xsct -n  -interactive /home/yuhaoliu/Projects/Verilog/AXI-MultiDMA-Ultra96V2/src/app/temp_xsdb_launch_script.tcl
16:20:22 INFO  : Registering command handlers for Vitis TCF services
16:20:26 INFO  : Platform repository initialization has completed.
16:20:26 INFO  : XSCT server has started successfully.
16:20:27 INFO  : plnx-install-location is set to ''
16:20:27 INFO  : Successfully done setting XSCT server connection channel  
16:20:27 INFO  : Successfully done query RDI_DATADIR 
16:20:27 INFO  : Successfully done setting workspace for the tool. 
16:21:47 INFO  : Result from executing command 'getProjects': AXI_MultiDMA_Accumulator_Platform
16:21:47 INFO  : Result from executing command 'getPlatforms': 
16:28:00 INFO  : Result from executing command 'getProjects': AXI_MultiDMA_Accumulator_Platform
16:28:00 INFO  : Result from executing command 'getPlatforms': AXI_MultiDMA_Accumulator_Platform|/home/yuhaoliu/Projects/Verilog/AXI-MultiDMA-Ultra96V2/src/app/AXI_MultiDMA_Accumulator_Platform/export/AXI_MultiDMA_Accumulator_Platform/AXI_MultiDMA_Accumulator_Platform.xpfm
